ticket_category,department,ticket_count_current_month,ticket_count_prior_month,mom_trend_pct,three_month_avg,top_subcategory,note
Scheduling,Customer Operations,142,118,20.3,128,Late schedule publication,"Spike correlates with reduced WFM coverage; many tickets reference 'received schedule Saturday'"
Workload / capacity,Customer Operations,87,72,20.8,76,Mandatory overtime,"Sustained increase over 3 months; not a one-month blip"
Manager / coaching,Customer Operations,54,38,42.1,42,Skipped 1:1s,"Strong jump MoM; aligns with manager bandwidth pressure"
Career / promotion,Customer Operations,33,28,17.9,29,Unclear criteria,"Steady upward drift; consistent theme"
Compensation,Customer Operations,21,19,10.5,20,Overtime rate question,"Most tickets are clarification, not contestation"
Benefits / leave,Customer Operations,18,17,5.9,17,FMLA process,"Stable; normal volume"
ER / conflict,Customer Operations,12,8,50.0,9,Peer conflict on overtime allocation,"Half of these reference contested OT shifts"
Tooling / access,Engineering,28,29,-3.4,27,SSO outage cleanup,"Stable; mostly transient access issues"
Career / promotion,Engineering,24,17,41.2,20,Path beyond Staff,"Jump MoM; concentrated in senior IC band"
On-call / rotation,Engineering,19,15,26.7,16,Platform team coverage,"Concentrated in one team; not department-wide"
Manager / coaching,Engineering,11,9,22.2,10,Coordination overhead,"Mostly from managers, not ICs"
Compensation,Engineering,8,9,-11.1,8,Refresher equity timing,"Low and stable; comp is not a top issue here"
Benefits / leave,Engineering,14,12,16.7,13,Parental leave logistics,"Normal seasonal pattern"
ER / conflict,Engineering,3,4,-25.0,3,Code review tone,"Low volume; not a trend"
Tooling / access,Merchandising,41,38,7.9,39,Buying-tool latency,"Persistent friction; not getting worse but not getting better"
Compensation,Merchandising,38,22,72.7,28,Market-comp comparison,"Largest MoM jump in any category this quarter; tickets explicitly cite external offers"
Career / promotion,Merchandising,29,21,38.1,24,Internal mobility applications,"Multiple tickets ask why internal applications go unanswered"
Manager / coaching,Merchandising,17,14,21.4,15,Cross-functional escalation help,"Mostly from managers asking for support on partner alignment"
Title / scope,Merchandising,15,9,66.7,11,Associate doing senior work,"Sharp jump; concentrated in newer buyers"
Benefits / leave,Merchandising,12,11,9.1,12,Standard,"Stable; normal volume"
ER / conflict,Merchandising,5,4,25.0,4,Vendor handoff disputes,"Low volume; not a trend"
