ticket_id,opened_date,category,sentiment,escalated_to_human,resolution_hours,verbatim_snippet
T-44102,2026-05-18,shipping,negative,yes,28,"Box was supposed to arrive Friday, didn't show until Tuesday. Third time in two months."
T-44108,2026-05-18,billing,neutral,no,2,"Just need to update my card on file."
T-44115,2026-05-18,packaging,negative,no,6,"New box design — got it crushed in half, two items broken inside."
T-44121,2026-05-19,shipping,negative,yes,36,"Tracking said delivered but nothing at my door. Driver photo shows wrong building."
T-44129,2026-05-19,app_access,negative,no,4,"Password reset email never came. Tried 4 times."
T-44133,2026-05-19,packaging,negative,no,8,"Whoever changed the packaging — it's literally impossible to open without scissors and I cut myself."
T-44141,2026-05-19,product_quality,neutral,no,12,"One item past its best-by date, swap requested."
T-44150,2026-05-20,shipping,negative,yes,42,"Order placed Sunday, promised Wed, now showing next Monday. Cancelling if it slips again."
T-44158,2026-05-20,app_access,negative,yes,18,"Can't log in on the iOS app since the update. Web works fine."
T-44162,2026-05-20,packaging,negative,no,5,"The new boxes are smaller but everything inside shifts around and arrives banged up."
T-44170,2026-05-20,shipping,negative,no,10,"Late again. You used to be reliable."
T-44178,2026-05-21,shipping,negative,yes,30,"Driver left it in the rain on my porch. Soaked through the new box, contents ruined."
T-44183,2026-05-21,billing,positive,no,1,"Just want to say your billing team is amazing, fixed my issue in minutes."
T-44189,2026-05-21,app_access,negative,no,3,"App keeps logging me out every time I switch tabs in the browser."
T-44195,2026-05-21,packaging,negative,yes,14,"Got an injury opening this new packaging. Will be sharing on social."
T-44201,2026-05-22,shipping,negative,yes,48,"Two missed delivery windows this week alone. What is going on with your carrier?"
T-44210,2026-05-22,product_quality,positive,no,2,"Quality of the produce was great this week, just wanted to mention."
T-44218,2026-05-22,app_access,negative,no,6,"Two-factor code is going to my old number. No way to update it without calling in."
T-44224,2026-05-23,shipping,negative,no,8,"Late delivery. Again."
T-44231,2026-05-23,packaging,negative,no,4,"New box arrived already torn at the top. Whatever the old supplier was, bring them back."
T-44238,2026-05-23,referral,positive,no,1,"How do I refer a friend, can't find the link in the app."
T-44244,2026-05-24,shipping,negative,yes,24,"Carrier said attempted delivery but I was home all day with the door open. Pattern with your driver in my area."
T-44251,2026-05-24,packaging,negative,no,9,"Crushed box, two broken items. This is the fourth time since you switched packaging."
T-44259,2026-05-24,product_quality,negative,no,7,"Item received was the wrong flavor, but tasted fine I guess."
