response_id,department,role_level,tenure_band,sentiment,verbatim
PV-1001,Customer Operations,IC,1-2 years,Negative,"Volume keeps climbing every quarter and headcount is flat. My manager knows but says her hands are tied. The new ticketing tool helps a little but doesn't fix the underlying staffing gap."
PV-1002,Customer Operations,IC,<1 year,Negative,"Training was rushed. I was handling escalations within three weeks and I still don't feel confident on the harder refund cases. I keep DMing senior agents which slows them down too."
PV-1003,Customer Operations,IC,3-5 years,Neutral,"Still like the team. The work isn't the issue — the workload is. I've started looking, honestly."
PV-1004,Customer Operations,Manager,3-5 years,Negative,"I spend most of my week on staffing fires instead of coaching. My 1:1s with ICs have been canceled three weeks in a row because I'm pulled into queue coverage."
PV-1005,Customer Operations,IC,1-2 years,Negative,"Promotion path is unclear. Two people who started after me got promoted and I don't know what they did differently. No one has told me what 'ready for senior' means here."
PV-1006,Customer Operations,IC,<1 year,Neutral,"Onboarding buddy system is great. Wish the documentation was as good as my buddy is — half the wiki is from two reorgs ago."
PV-1007,Customer Operations,IC,3-5 years,Negative,"The schedule changes with no notice. Last week I got my next-week schedule on Saturday night. That's not sustainable when you have kids."
PV-1008,Customer Operations,IC,1-2 years,Positive,"My manager actually pushes back on workload for us. She's the reason I'm still here."
PV-1009,Customer Operations,IC,5+ years,Negative,"Leadership doesn't see us. The all-hands always shows engineering and product stories. We're the ones holding the customer relationship and we're invisible in the narrative."
PV-1010,Customer Operations,Manager,1-2 years,Negative,"I'm a new manager with zero manager training. I'm winging the hard conversations and I know I'm getting some of them wrong."
PV-1011,Customer Operations,IC,<1 year,Neutral,"Pay is fair for the role. The benefits package is genuinely good. The day-to-day is just harder than I expected."
PV-1012,Customer Operations,IC,3-5 years,Negative,"Why did we hire a new VP from outside? There were two internal candidates everyone respected and they both left within six weeks of the announcement."
PV-1013,Engineering,IC,1-2 years,Positive,"Best codebase I've worked in. Code review culture is real. I learn something every week from PR comments."
PV-1014,Engineering,IC,3-5 years,Neutral,"Roadmap whiplash is real. We've reprioritized the same area three times this year. I get that the business shifts but the cost is invisible from above."
PV-1015,Engineering,IC,1-2 years,Negative,"On-call is brutal on the platform team. Five people in the rotation, two of them are stretched across two services. I'm exhausted after my week."
PV-1016,Engineering,IC,<1 year,Positive,"Onboarding was incredible. I shipped to prod in week two. Manager is the best I've had."
PV-1017,Engineering,Manager,5+ years,Neutral,"My team is solid. The cross-team coordination is what kills me — every quarter I spend more time in alignment meetings than in 1:1s with my engineers."
PV-1018,Engineering,IC,3-5 years,Negative,"Hiring bar has dropped. I'm reviewing code from new hires that wouldn't have passed our interview two years ago. Nobody wants to say it out loud."
PV-1019,Engineering,IC,1-2 years,Positive,"Compensation is the most transparent I've seen anywhere. The bands are public. That alone removes 80% of the anxiety."
PV-1020,Engineering,IC,5+ years,Neutral,"Tenured engineers like me feel like the career conversation stopped at Staff. Where do we go next? Nobody has an answer."
PV-1021,Engineering,IC,<1 year,Positive,"Loved my interview process. Very different from other shops — felt like they actually wanted to know if I could think, not just LeetCode."
PV-1022,Engineering,Manager,3-5 years,Negative,"Performance review tool is fine, the process around it is exhausting. Calibration takes weeks. By the end I've forgotten what I wanted to say about my own people."
PV-1023,Engineering,IC,1-2 years,Neutral,"Remote-first works for me. The quarterly in-person weeks are valuable. Wish we did more of them and fewer Zoom all-hands."
PV-1024,Engineering,IC,3-5 years,Negative,"Platform team on-call needs to stop being a recruitment-killer. I've had two friends turn down offers because they heard about the rotation."
PV-1025,Merchandising,IC,1-2 years,Neutral,"My manager is great. The tooling is from 2015. I spend half my day in spreadsheets that should be a real app."
PV-1026,Merchandising,IC,3-5 years,Positive,"I love the category I cover. I have real ownership and the buying decisions are mine. That's rare."
PV-1027,Merchandising,IC,<1 year,Negative,"I was hired as an 'associate buyer' but I'm doing the work of a senior buyer with no title or pay adjustment. When I raised it I was told 'we'll revisit at year-end.'"
PV-1028,Merchandising,Manager,5+ years,Neutral,"Team is fine. The friction is cross-functional — getting marketing, finance, and supply chain aligned on a promo plan is a full-time job for me and the system doesn't help."
PV-1029,Merchandising,IC,1-2 years,Negative,"Compensation here is below market for buyers. I've had two recruiters call me this month with offers 18-25% higher. Trying to hold out but it's hard."
PV-1030,Merchandising,IC,3-5 years,Negative,"Internal mobility is a black box. I applied for a role on the planning team in January, never heard back, and the role got filled externally in March."
PV-1031,Merchandising,IC,<1 year,Positive,"Onboarding into the buying systems was rough at first but my buddy and my manager were both patient. Three months in, I feel productive."
PV-1032,Merchandising,IC,3-5 years,Neutral,"I like my work. I worry the company is overhiring leadership and underhiring ICs. Every all-hands has new directors and we still don't have enough planners."
PV-1033,Merchandising,Manager,3-5 years,Negative,"My team's comp lags so far behind the market that I lost my two strongest buyers in 90 days. Now I'm rebuilding from junior. The total cost to the company is way higher than just raising the band would have been."
PV-1034,Merchandising,IC,1-2 years,Neutral,"Hybrid schedule works. Office days are productive. I just wish the food in the office hadn't been cut — it's a small thing but it's the kind of thing that telegraphs the direction."
PV-1035,Merchandising,IC,5+ years,Negative,"Five years here. I've never had a real career-development conversation. I get my review, I get my comp letter, that's the extent of it."
