mention_id,date,platform,reach,sentiment,we_replied,post_text
SM-9012,2026-05-18,instagram,2400,negative,yes,"third late delivery this month, what's happening over there?"
SM-9019,2026-05-18,tiktok,180000,negative,no,"unboxing the new packaging — this is literally a hazard, watch til the end"
SM-9024,2026-05-19,twitter,1200,negative,yes,"day 4 of 'out for delivery' lol"
SM-9031,2026-05-19,instagram,860,neutral,no,"anyone else getting their boxes crushed lately? mine has been twice"
SM-9038,2026-05-20,twitter,540,negative,yes,"the new box is impossible to open. who designed this"
SM-9044,2026-05-20,tiktok,42000,negative,no,"PSA new packaging cut my hand open, be careful"
SM-9051,2026-05-20,instagram,3100,positive,yes,"shoutout to the support team who fixed my order in like 5 min"
SM-9058,2026-05-21,twitter,2800,negative,yes,"missed another delivery window. is the carrier change permanent or"
SM-9064,2026-05-21,instagram,1900,negative,no,"these new boxes arrive destroyed every single time"
SM-9071,2026-05-22,tiktok,920000,negative,no,"@famouscreator99 doing a 12-min rant about losing their membership over a billing dispute, mostly off-topic complaints, viewers piling on"
SM-9078,2026-05-22,twitter,410,negative,yes,"shipping is genuinely the worst it's ever been"
SM-9085,2026-05-23,instagram,1100,negative,no,"why did you change the packaging when the old one was fine"
SM-9091,2026-05-23,twitter,260,negative,no,"can't reset my password on the app, support email never came either"
SM-9098,2026-05-24,instagram,1700,negative,no,"three late deliveries in two weeks. used to recommend you, not anymore"
SM-9104,2026-05-24,tiktok,38000,positive,no,"honestly the produce quality has been amazing this month"
